
Eliminate 0 isolated buses
Eliminate 0 branches
Eliminate 0 generators
Preprocessing complete
Convert input data model
Creating Y matrix of input full model
Do first round reduction eliminating all external buses
10195 external generators are to be placed
Do second round reduction eliminating all external non-generator buses
Placing External generators
Redistribute loads
**********Reduction Summary****************
500 buses in reduced model
7828 branches in reduced model, including 7827 equivalent lines
10390 generators in reduced model
**********Generator Placement Results**************
External generator on bus 845 is moved to 188
External generator on bus 850 is moved to 188
External generator on bus 851 is moved to 188
External generator on bus 852 is moved to 188
External generator on bus 853 is moved to 188
External generator on bus 856 is moved to 188
External generator on bus 859 is moved to 188
External generator on bus 863 is moved to 56
External generator on bus 869 is moved to 188
External generator on bus 870 is moved to 188
External generator on bus 873 is moved to 188
External generator on bus 874 is moved to 188
External generator on bus 881 is moved to 188
External generator on bus 882 is moved to 188
External generator on bus 885 is moved to 188
External generator on bus 887 is moved to 188
External generator on bus 891 is moved to 188
External generator on bus 895 is moved to 56
External generator on bus 899 is moved to 188
External generator on bus 900 is moved to 188
External generator on bus 905 is moved to 56
External generator on bus 906 is moved to 188
External generator on bus 909 is moved to 188
External generator on bus 912 is moved to 188
External generator on bus 915 is moved to 188
External generator on bus 916 is moved to 188
External generator on bus 918 is moved to 188
External generator on bus 919 is moved to 188
External generator on bus 920 is moved to 188
External generator on bus 924 is moved to 479
External generator on bus 929 is moved to 188
External generator on bus 930 is moved to 188
External generator on bus 931 is moved to 188
External generator on bus 932 is moved to 188
External generator on bus 935 is moved to 188
External generator on bus 936 is moved to 188
External generator on bus 939 is moved to 188
External generator on bus 940 is moved to 188
External generator on bus 944 is moved to 56
External generator on bus 946 is moved to 188
External generator on bus 950 is moved to 188
External generator on bus 953 is moved to 188
External generator on bus 962 is moved to 188
External generator on bus 965 is moved to 188
External generator on bus 968 is moved to 479
External generator on bus 973 is moved to 188
External generator on bus 974 is moved to 188
External generator on bus 975 is moved to 188
External generator on bus 978 is moved to 188
External generator on bus 981 is moved to 188
External generator on bus 985 is moved to 188
External generator on bus 995 is moved to 188
External generator on bus 996 is moved to 188
External generator on bus 1008 is moved to 188
External generator on bus 1009 is moved to 188
External generator on bus 1013 is moved to 56
External generator on bus 1014 is moved to 56
External generator on bus 1017 is moved to 56
External generator on bus 1018 is moved to 56
External generator on bus 1023 is moved to 188
External generator on bus 1024 is moved to 188
External generator on bus 1025 is moved to 188
External generator on bus 1030 is moved to 479
External generator on bus 1034 is moved to 188
External generator on bus 1037 is moved to 56
External generator on bus 1038 is moved to 56
External generator on bus 1044 is moved to 188
External generator on bus 1050 is moved to 56
External generator on bus 1054 is moved to 188
External generator on bus 1057 is moved to 188
External generator on bus 1059 is moved to 188
External generator on bus 1060 is moved to 56
External generator on bus 1064 is moved to 188
External generator on bus 1067 is moved to 188
External generator on bus 1068 is moved to 188
External generator on bus 1070 is moved to 188
External generator on bus 1071 is moved to 188
External generator on bus 1074 is moved to 56
External generator on bus 1076 is moved to 188
External generator on bus 1077 is moved to 188
External generator on bus 1080 is moved to 56
External generator on bus 1081 is moved to 56
External generator on bus 1082 is moved to 56
External generator on bus 1085 is moved to 56
External generator on bus 1088 is moved to 56
External generator on bus 1089 is moved to 56
External generator on bus 1091 is moved to 56
External generator on bus 1092 is moved to 56
External generator on bus 1096 is moved to 188
External generator on bus 1097 is moved to 188
External generator on bus 1100 is moved to 188
External generator on bus 1102 is moved to 56
External generator on bus 1104 is moved to 188
External generator on bus 1106 is moved to 188
External generator on bus 1109 is moved to 188
External generator on bus 1110 is moved to 188
External generator on bus 1111 is moved to 188
External generator on bus 1112 is moved to 188
External generator on bus 1118 is moved to 188
External generator on bus 1121 is moved to 188
External generator on bus 1123 is moved to 188
External generator on bus 1126 is moved to 56
External generator on bus 1127 is moved to 56
External generator on bus 1131 is moved to 56
External generator on bus 1132 is moved to 56
External generator on bus 1133 is moved to 56
External generator on bus 1136 is moved to 188
External generator on bus 1138 is moved to 56
External generator on bus 1143 is moved to 56
External generator on bus 1146 is moved to 188
External generator on bus 1148 is moved to 188
External generator on bus 1150 is moved to 188
External generator on bus 1151 is moved to 188
External generator on bus 1157 is moved to 188
External generator on bus 1158 is moved to 188
External generator on bus 1159 is moved to 188
External generator on bus 1164 is moved to 56
External generator on bus 1168 is moved to 188
External generator on bus 1169 is moved to 188
External generator on bus 1172 is moved to 188
External generator on bus 1177 is moved to 56
External generator on bus 1178 is moved to 56
External generator on bus 1179 is moved to 56
External generator on bus 1187 is moved to 56
External generator on bus 1190 is moved to 188
External generator on bus 1193 is moved to 188
External generator on bus 1194 is moved to 188
External generator on bus 1197 is moved to 56
External generator on bus 1199 is moved to 188
External generator on bus 1200 is moved to 188
External generator on bus 1206 is moved to 188
External generator on bus 1211 is moved to 188
External generator on bus 1212 is moved to 188
External generator on bus 1214 is moved to 188
External generator on bus 1743 is moved to 4238
External generator on bus 1751 is moved to 4238
External generator on bus 1752 is moved to 4238
External generator on bus 1755 is moved to 4238
External generator on bus 1758 is moved to 479
External generator on bus 1761 is moved to 4238
External generator on bus 1762 is moved to 4238
External generator on bus 1766 is moved to 479
External generator on bus 1767 is moved to 479
External generator on bus 1770 is moved to 2289
External generator on bus 1772 is moved to 4238
External generator on bus 1773 is moved to 4238
External generator on bus 1774 is moved to 4238
External generator on bus 1778 is moved to 4238
External generator on bus 1780 is moved to 479
External generator on bus 1787 is moved to 479
External generator on bus 1793 is moved to 4238
External generator on bus 1794 is moved to 4238
External generator on bus 1795 is moved to 4238
External generator on bus 1801 is moved to 4238
External generator on bus 1806 is moved to 479
External generator on bus 1810 is moved to 479
External generator on bus 1814 is moved to 479
External generator on bus 1816 is moved to 479
External generator on bus 1817 is moved to 479
External generator on bus 1818 is moved to 479
External generator on bus 1823 is moved to 2289
External generator on bus 1829 is moved to 2289
External generator on bus 1833 is moved to 2049
External generator on bus 1839 is moved to 479
External generator on bus 1840 is moved to 479
External generator on bus 1844 is moved to 479
External generator on bus 1847 is moved to 2289
External generator on bus 1848 is moved to 2289
External generator on bus 1853 is moved to 4238
External generator on bus 1854 is moved to 4238
External generator on bus 1856 is moved to 479
External generator on bus 1857 is moved to 4238
External generator on bus 1863 is moved to 479
External generator on bus 1864 is moved to 479
External generator on bus 1865 is moved to 479
External generator on bus 1866 is moved to 479
External generator on bus 1867 is moved to 479
External generator on bus 1874 is moved to 479
External generator on bus 1877 is moved to 2049
External generator on bus 1879 is moved to 479
External generator on bus 1882 is moved to 479
External generator on bus 1883 is moved to 479
External generator on bus 1887 is moved to 479
External generator on bus 1891 is moved to 188
External generator on bus 1892 is moved to 188
External generator on bus 1893 is moved to 188
External generator on bus 1894 is moved to 188
External generator on bus 1895 is moved to 188
External generator on bus 1898 is moved to 479
External generator on bus 1900 is moved to 2289
External generator on bus 1901 is moved to 2289
External generator on bus 1905 is moved to 479
External generator on bus 1907 is moved to 188
External generator on bus 1910 is moved to 479
External generator on bus 1911 is moved to 479
External generator on bus 1917 is moved to 4238
External generator on bus 1918 is moved to 4238
External generator on bus 1919 is moved to 4238
External generator on bus 1926 is moved to 2049
External generator on bus 1927 is moved to 2049
External generator on bus 2434 is moved to 2289
External generator on bus 2435 is moved to 2289
External generator on bus 2437 is moved to 2289
External generator on bus 2438 is moved to 2289
External generator on bus 2439 is moved to 2289
External generator on bus 2443 is moved to 2049
External generator on bus 2449 is moved to 2289
External generator on bus 2451 is moved to 2049
External generator on bus 2454 is moved to 2289
External generator on bus 2460 is moved to 2049
External generator on bus 2461 is moved to 2049
External generator on bus 2463 is moved to 2049
External generator on bus 2464 is moved to 2049
External generator on bus 2467 is moved to 2049
External generator on bus 2470 is moved to 2289
External generator on bus 2475 is moved to 479
External generator on bus 2476 is moved to 479
External generator on bus 2477 is moved to 479
External generator on bus 2481 is moved to 2049
External generator on bus 2483 is moved to 2049
External generator on bus 2485 is moved to 2049
External generator on bus 2487 is moved to 2049
External generator on bus 2489 is moved to 2049
External generator on bus 2490 is moved to 2049
External generator on bus 2495 is moved to 2049
External generator on bus 2496 is moved to 2049
External generator on bus 2497 is moved to 2049
External generator on bus 2503 is moved to 2289
External generator on bus 2506 is moved to 1317
External generator on bus 2509 is moved to 2049
External generator on bus 2513 is moved to 2289
External generator on bus 2514 is moved to 2289
External generator on bus 2515 is moved to 2289
External generator on bus 2518 is moved to 2049
External generator on bus 2519 is moved to 2049
External generator on bus 2520 is moved to 2049
External generator on bus 2524 is moved to 2049
External generator on bus 2525 is moved to 2049
External generator on bus 2526 is moved to 2049
External generator on bus 2531 is moved to 2049
External generator on bus 2532 is moved to 2049
External generator on bus 2536 is moved to 2289
External generator on bus 2542 is moved to 1317
External generator on bus 2543 is moved to 1317
External generator on bus 2545 is moved to 1317
External generator on bus 2548 is moved to 2049
External generator on bus 2550 is moved to 2049
External generator on bus 2552 is moved to 2049
External generator on bus 2559 is moved to 2289
External generator on bus 2562 is moved to 2289
External generator on bus 2565 is moved to 2289
External generator on bus 2566 is moved to 2289
External generator on bus 2570 is moved to 2289
External generator on bus 2575 is moved to 2049
External generator on bus 2577 is moved to 2049
External generator on bus 2580 is moved to 2049
External generator on bus 2581 is moved to 2049
External generator on bus 2583 is moved to 2049
External generator on bus 2589 is moved to 2289
External generator on bus 2593 is moved to 1317
External generator on bus 2594 is moved to 1317
External generator on bus 2600 is moved to 2049
External generator on bus 2603 is moved to 1317
External generator on bus 2604 is moved to 1317
External generator on bus 2608 is moved to 2049
External generator on bus 2611 is moved to 2289
External generator on bus 2612 is moved to 2289
External generator on bus 2614 is moved to 2289
External generator on bus 2615 is moved to 2289
External generator on bus 2619 is moved to 2049
External generator on bus 2620 is moved to 2049
External generator on bus 2625 is moved to 2049
External generator on bus 2629 is moved to 2289
External generator on bus 2630 is moved to 2289
External generator on bus 2634 is moved to 2049
External generator on bus 2640 is moved to 2049
External generator on bus 2641 is moved to 2049
External generator on bus 2642 is moved to 2049
External generator on bus 2645 is moved to 2049
External generator on bus 2649 is moved to 2049
External generator on bus 2655 is moved to 2049
External generator on bus 2663 is moved to 1317
External generator on bus 2664 is moved to 1317
External generator on bus 2665 is moved to 1317
External generator on bus 2668 is moved to 2049
External generator on bus 2669 is moved to 2049
External generator on bus 2670 is moved to 2049
External generator on bus 3921 is moved to 5545
External generator on bus 3923 is moved to 2818
External generator on bus 3925 is moved to 2818
External generator on bus 3928 is moved to 1317
External generator on bus 3929 is moved to 1317
External generator on bus 3932 is moved to 2744
External generator on bus 3934 is moved to 4238
External generator on bus 3935 is moved to 4238
External generator on bus 3938 is moved to 1317
External generator on bus 3940 is moved to 2818
External generator on bus 3943 is moved to 4238
External generator on bus 3944 is moved to 4238
External generator on bus 3948 is moved to 1317
External generator on bus 3950 is moved to 4238
External generator on bus 3952 is moved to 2744
External generator on bus 3955 is moved to 5545
External generator on bus 3958 is moved to 1317
External generator on bus 3959 is moved to 1317
External generator on bus 3962 is moved to 2744
External generator on bus 3965 is moved to 5545
External generator on bus 3966 is moved to 5545
External generator on bus 3970 is moved to 4238
External generator on bus 3971 is moved to 4238
External generator on bus 3974 is moved to 2744
External generator on bus 3976 is moved to 1317
External generator on bus 3977 is moved to 1317
External generator on bus 3982 is moved to 5545
External generator on bus 3986 is moved to 2818
External generator on bus 3990 is moved to 5545
External generator on bus 3991 is moved to 5545
External generator on bus 3992 is moved to 5545
External generator on bus 3995 is moved to 4238
External generator on bus 3997 is moved to 4238
External generator on bus 3999 is moved to 5545
External generator on bus 4005 is moved to 4238
External generator on bus 4007 is moved to 1317
External generator on bus 4009 is moved to 2818
External generator on bus 4010 is moved to 2818
External generator on bus 4011 is moved to 2818
External generator on bus 4015 is moved to 1317
External generator on bus 4019 is moved to 2818
External generator on bus 4020 is moved to 2818
External generator on bus 4022 is moved to 2818
External generator on bus 4023 is moved to 2818
External generator on bus 4027 is moved to 2744
External generator on bus 4029 is moved to 2744
External generator on bus 4030 is moved to 2744
External generator on bus 4035 is moved to 1317
External generator on bus 4038 is moved to 4238
External generator on bus 4043 is moved to 4238
External generator on bus 4044 is moved to 4238
External generator on bus 4049 is moved to 4238
External generator on bus 4050 is moved to 4238
External generator on bus 4054 is moved to 4238
External generator on bus 4056 is moved to 4238
External generator on bus 4061 is moved to 2818
External generator on bus 4062 is moved to 2818
External generator on bus 4063 is moved to 2818
External generator on bus 4067 is moved to 4238
External generator on bus 4070 is moved to 5545
External generator on bus 4071 is moved to 5545
External generator on bus 4075 is moved to 4238
External generator on bus 4076 is moved to 4238
External generator on bus 4078 is moved to 4238
External generator on bus 4079 is moved to 4238
External generator on bus 4082 is moved to 4238
External generator on bus 4083 is moved to 4238
External generator on bus 4087 is moved to 2818
External generator on bus 4093 is moved to 1317
External generator on bus 4097 is moved to 4238
External generator on bus 4101 is moved to 5545
External generator on bus 4102 is moved to 5545
External generator on bus 4103 is moved to 5545
External generator on bus 4104 is moved to 5545
External generator on bus 4105 is moved to 5545
External generator on bus 4106 is moved to 5545
External generator on bus 4107 is moved to 5545
External generator on bus 4108 is moved to 5545
External generator on bus 4109 is moved to 5545
External generator on bus 4110 is moved to 5545
External generator on bus 4113 is moved to 4238
External generator on bus 4117 is moved to 2818
External generator on bus 4118 is moved to 2818
External generator on bus 4119 is moved to 2818
External generator on bus 4122 is moved to 4238
